ean,nombre,marca,kcal_100g,proteina_100g,hidratos_100g,grasas_100g,rol_principal,grupo_mediterraneo,frecuencia_mediterranea,permitido_comidas,categorias,,,
8480000239266,Bebida de almendra 0% azúcares,Hacendado,16.0,0.5,0.0,1.5,grasa,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Bebidas y preparaciones de bebidas,Alimentos y bebidas de origen vegetal,Bebidas,Alimentos de origen vegetal,en:Dairy substitutes,Sustitutos de la leche,Frutos de cáscara y derivados,Bebidas de origen vegetal,Bebidas vegetales,Leches de frutos de cáscara,Productos pasteurizados,Bebidas no azucaradas,Leches de almendras",,,
8480000674166,Crema al cacao,Hacendado,547.0,4.4,56.0,33.0,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Desayunos,Untables,Untables dulces,fr:Pâtes à tartiner,Cremas a base de avellanas,Cremas de chocolate,Cremas de cacao y avellanas",,,
8480000808950,Tortilla con cebolla,Hacendado,193.0,5.7,17.0,11.0,hidrato,huevo,regular,"almuerzo,cena","comidas-preparadas, tortillas-de-patata, es:comidas-preparadas, es:tortillas-de-patata",,,
8480000142429,Galletas de trigo espelta 0% azúcares añadidos,Hacendado,422.0,9.0,64.0,16.0,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Botanas,Snacks dulces,Galletas y pasteles,en:Biscuits and crackers,Galletas",,,
8480000607225,Chocolate negro 85% cacao,Hacendado,597.0,12.0,20.0,49.0,grasa,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Botanas,Snacks dulces,Cacao y sus productos,Chocolates,Chocolates negros",,,
8402001013140,Digestive 0%,Hacendado,500.0,6.67,62.0,20.0,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Botanas,Snacks dulces,Galletas y pasteles,en:Biscuits and crackers,Galletas",,,
8480000180025,Atún claro en aceite de oliva,Hacendado,245.0,21.0,0.9,18.0,"proteina,grasa",aceite_oliva,frecuente,"almuerzo,cena","Seafood,Fishes and their products,Canned foods,Fishes,Fatty fishes,Canned fishes,Tunas,Canned tunas,Tunas in oil,Tuna in olive oil,es:Atún claro en aceite de oliva",,,
8480000348654,Almendra natural,Hacendado,642.0,25.2,5.9,54.8,grasa,frutos_secos,regular,"desayuno,media_manana,merienda,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Frutos de cáscara y derivados,Frutos de cáscara,Almendras,en:Whole almonds,Almendra natural",,,
8480000505460,Havarti light,HACENDADO,267.0,27.0,1.6,17.0,proteina,queso_curado,moderada,"media_manana,almuerzo,merienda,cena","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Quesos,Quesos de vaca,Quesos daneses,Havarti",,,
8480000125866,Chocolate negro 99% cacao,HACENDADO,610.0,15.0,8.0,54.0,grasa,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Botanas, Snacks dulces, Cacao y sus productos, Chocolates, Chocolates negros, en:Dark chocolate bar with more than 70% cocoa",,,
8480000511102,Mozzarella,HACENDADO,283.0,21.0,2.5,21.0,"proteina,grasa",queso_curado,moderada,"media_manana,almuerzo,merienda,cena","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Quesos,Quesos de vaca,Quesos italianos,en:Stretched-curd cheeses,Mozzarella,en:Cow mozzarella",,,
8480000171511,Tomate frito,Hacendado,81.0,1.4,11.6,3.0,hidrato,verdura,frecuente,"almuerzo,cena","en:groceries,Salsas,Salsas de tomate,Salsas de tomate frito",,,
8480000228369,Crema de cacahuete 100% crunchy,Hacendado,608.0,30.0,12.0,47.0,grasa,frutos_secos,regular,"desayuno,media_manana,merienda,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Leguminosas y derivados,Untables,Frutos de cáscara y derivados,Untables vegetales,Frutos de cáscara,Purés de oleaginosas,Mantecas de leguminosas,Mantecas de frutos de cáscara,Mantecas de cacahuete,en:Crunchy peanut butters",,,
